Game,Draw Date,Winning Combination,Jackpot (PHP),Winners
Lotto 6/42,2020-01-14,40-39-20-33-13-34,"5,940,000.00",0
6D Lotto,2020-01-14,9-9-0-0-8-0,"2,495,893.00",1
Mega Lotto 6/45,2020-01-13,35-12-39-15-04-45,"8,910,000.00",0
Grand Lotto 6/55,2020-01-13,36-51-09-46-14-10,"29,700,000.00",0
4D Lotto,2020-01-13,8-4-0-9,"57,470.00",12
Ultra Lotto 6/58,2020-01-12,43-35-38-13-23-22,"116,362,467.20",0
Super Lotto 6/49,2020-01-12,34-10-38-26-43-08,"29,566,794.80",0
Lotto 6/42,2020-01-11,16-17-05-30-29-21,"28,481,693.80",1
Grand Lotto 6/55,2020-01-11,51-55-14-43-10-50,"29,700,000.00",0
6D Lotto,2020-01-11,8-1-1-8-0-5,"2,185,877.92",0
Ultra Lotto 6/58,2020-01-10,22-16-32-20-51-09,"111,662,963.60",0
Mega Lotto 6/45,2020-01-10,21-04-25-13-11-19,"68,523,435.40",2
4D Lotto,2020-01-10,4-8-9-4,"87,419.00",10
Super Lotto 6/49,2020-01-09,23-29-49-39-26-09,"26,814,477.80",0
Lotto 6/42,2020-01-09,11-40-31-30-28-18,"25,171,560.00",0
6D Lotto,2020-01-09,7-1-0-7-8-2,"2,025,323.58",0
Mega Lotto 6/45,2020-01-08,28-35-25-20-23-01,"64,466,944.60",0
Grand Lotto 6/55,2020-01-08,25-54-04-22-55-24,"80,721,908.00",1
4D Lotto,2020-01-08,6-8-1-7,"10,000.00",54
Ultra Lotto 6/58,2020-01-07,54-46-02-41-47-03,"106,935,555.20",0
Super Lotto 6/49,2020-01-07,32-12-03-43-31-47,"24,219,208.00",0
Lotto 6/42,2020-01-07,02-35-12-14-31-27,"22,182,430.00",0
6D Lotto,2020-01-07,2-2-4-0-6-0,"1,683,516.36",0
Mega Lotto 6/45,2020-01-06,12-37-14-18-02-40,"60,564,291.20",0
Grand Lotto 6/55,2020-01-06,42-32-35-15-49-19,"77,506,200.00",0
4D Lotto,2020-01-06,4-0-8-4,"24,822.00",35
Ultra Lotto 6/58,2020-01-05,24-19-40-53-09-07,"102,953,273.60",0
Super Lotto 6/49,2020-01-05,01-22-16-47-09-36,"22,212,237.20",0
Lotto 6/42,2020-01-04,39-27-05-14-09-08,"19,571,534.40",0
Grand Lotto 6/55,2020-01-04,17-42-16-12-26-05,"74,260,526.40",0
6D Lotto,2020-01-04,7-9-6-4-1-9,"1,621,144.96",0
Ultra Lotto 6/58,2020-01-03,50-18-51-38-57-30,"98,649,191.20",0
Mega Lotto 6/45,2020-01-03,36-41-34-40-01-32,"56,566,084.40",0
4D Lotto,2020-01-03,8-2-6-4,"88,098.00",9
Super Lotto 6/49,2020-01-02,25-35-16-40-13-03,"19,509,060.60",0
Lotto 6/42,2020-01-02,42-31-01-17-16-20,"16,767,512.40",0
6D Lotto,2020-01-02,2-1-8-4-9-0,"1,477,765.60",0
Ultra Lotto 6/58,2019-12-31,28-21-14-52-46-29,"94,535,594.40",0
Super Lotto 6/49,2019-12-31,29-39-07-21-02-42,"17,023,109.20",0
Lotto 6/42,2019-12-31,22-16-38-40-20-25,"14,179,129.00",0
6D Lotto,2019-12-31,4-8-8-5-4-1,"1,129,074.52",0
Mega Lotto 6/45,2019-12-30,31-18-05-43-42-02,"52,500,224.20",0
Grand Lotto 6/55,2019-12-30,55-34-03-12-43-54,"70,641,213.40",0
4D Lotto,2019-12-30,4-7-4-5,"38,876.00",22
Ultra Lotto 6/58,2019-12-29,27-28-40-45-43-14,"92,224,548.20",0
Super Lotto 6/49,2019-12-29,24-22-05-11-42-08,"15,840,000.00",0
Lotto 6/42,2019-12-28,05-37-23-38-04-31,"12,625,670.00",0
Grand Lotto 6/55,2019-12-28,14-06-22-03-46-53,"67,432,527.20",0
6D Lotto,2019-12-28,9-3-0-6-1-0,"826,108.56",0
Ultra Lotto 6/58,2019-12-27,08-56-18-37-58-23,"88,299,709.60",0
Mega Lotto 6/45,2019-12-27,33-40-10-25-11-02,"48,632,062.00",0
4D Lotto,2019-12-27,6-6-4-1,"102,680.00",9
Super Lotto 6/49,2019-12-26,30-28-21-02-36-40,"15,840,000.00",0
Lotto 6/42,2019-12-26,05-17-19-04-20-25,"9,988,613.00",0
6D Lotto,2019-12-26,6-8-1-2-3-2,"640,684.92",0
Ultra Lotto 6/58,2019-12-24,36-37-51-14-04-15,"84,504,553.40",0
Super Lotto 6/49,2019-12-24,01-49-44-24-12-05,"15,840,000.00",0
Lotto 6/42,2019-12-24,17-19-38-14-15-31,"7,759,025.80",0
6D Lotto,2019-12-24,6-9-8-8-0-4,"590,684.92",0
Mega Lotto 6/45,2019-12-23,17-27-38-31-23-19,"44,794,186.00",0
Grand Lotto 6/55,2019-12-23,05-41-39-38-14-25,"63,843,806.40",0
4D Lotto,2019-12-23,0-0-3-5,"67,112.00",12
Ultra Lotto 6/58,2019-12-22,55-25-17-57-11-50,"82,566,391.00",0
Super Lotto 6/49,2019-12-22,48-17-09-27-41-19,"15,840,000.00",0
Lotto 6/42,2019-12-21,24-32-18-39-12-28,"6,525,392.60",0
Grand Lotto 6/55,2019-12-21,32-37-52-15-06-19,"60,677,747.60",0
6D Lotto,2019-12-21,3-7-3-2-6-3,"360,721.56",0
Ultra Lotto 6/58,2019-12-20,41-09-15-19-58-44,"78,982,007.60",0
Mega Lotto 6/45,2019-12-20,39-11-33-16-27-13,"41,006,804.80",0
4D Lotto,2019-12-20,2-2-0-3,"21,288.00",37
Super Lotto 6/49,2019-12-19,08-40-41-11-28-09,"15,840,000.00",0
Lotto 6/42,2019-12-19,11-02-06-26-22-33,"5,940,000.00",0
6D Lotto,2019-12-19,2-6-9-0-2-3,"511,700.00",1
Mega Lotto 6/45,2019-12-18,28-41-20-27-11-04,"37,623,339.00",0
Grand Lotto 6/55,2019-12-18,07-22-06-11-51-37,"57,418,902.40",0
4D Lotto,2019-12-18,9-5-1-5,"54,269.00",10
Ultra Lotto 6/58,2019-12-17,54-49-35-40-37-05,"75,414,274.00",0
Super Lotto 6/49,2019-12-17,30-39-34-20-46-33,"15,840,000.00",0
Lotto 6/42,2019-12-17,02-33-30-42-06-20,"5,940,000.00",0
6D Lotto,2019-12-17,8-4-0-6-1-4,"260,105.38",0
Mega Lotto 6/45,2019-12-16,17-12-43-20-09-08,"34,364,572.00",0
Grand Lotto 6/55,2019-12-16,23-45-50-51-54-49,"54,569,023.60",0
4D Lotto,2019-12-16,7-8-4-7,"56,549.00",14
Ultra Lotto 6/58,2019-12-15,01-45-44-46-10-05,"72,282,109.60",0
Super Lotto 6/49,2019-12-15,26-41-07-34-39-02,"15,840,000.00",0
Lotto 6/42,2019-12-14,37-10-42-19-01-25,"11,432,697.40",1
Grand Lotto 6/55,2019-12-14,03-08-27-25-05-44,"51,779,537.40",0
6D Lotto,2019-12-14,1-0-0-6-4-4,"1,677,338.00",1
Ultra Lotto 6/58,2019-12-13,08-37-22-01-31-55,"69,070,421.80",0
Mega Lotto 6/45,2019-12-13,42-11-04-26-18-31,"31,127,784.40",0
4D Lotto,2019-12-13,0-4-1-1,"10,000.00",68
Super Lotto 6/49,2019-12-12,47-04-02-31-29-07,"15,840,000.00",1
Lotto 6/42,2019-12-12,10-14-04-03-31-37,"9,014,346.60",0
6D Lotto,2019-12-12,9-7-4-8-6-7,"1,627,338.86",0
Mega Lotto 6/45,2019-12-11,17-08-36-24-02-34,"28,077,574.60",0
Grand Lotto 6/55,2019-12-11,22-37-04-33-55-32,"48,831,601.20",0
4D Lotto,2019-12-11,3-6-8-9,"78,881.00",10
Ultra Lotto 6/58,2019-12-10,34-30-35-09-18-21,"65,841,720.60",0
Super Lotto 6/49,2019-12-10,10-23-38-33-26-13,"15,840,000.00",0
Lotto 6/42,2019-12-10,35-10-33-01-30-05,"6,795,831.20",0
6D Lotto,2019-12-10,8-8-9-9-5-5,"1,244,948.06",0
Mega Lotto 6/45,2019-12-09,19-24-17-26-13-10,"25,124,868.40",0
Grand Lotto 6/55,2019-12-09,40-14-22-17-50-45,"46,156,860.80",0
4D Lotto,2019-12-09,2-6-7-7,"69,057.00",11
Ultra Lotto 6/58,2019-12-08,45-36-19-55-03-32,"63,071,826.60",0
Super Lotto 6/49,2019-12-08,29-35-18-01-33-39,"15,840,000.00",0
Lotto 6/42,2019-12-07,09-17-20-34-06-31,"5,940,000.00",0
Grand Lotto 6/55,2019-12-07,26-15-27-42-30-49,"43,567,493.00",0
6D Lotto,2019-12-07,3-5-0-0-9-9,"859,239.48",0
Ultra Lotto 6/58,2019-12-06,11-41-55-58-10-17,"60,074,267.60",0
Mega Lotto 6/45,2019-12-06,42-38-41-20-29-19,"22,223,602.80",0
4D Lotto,2019-12-06,4-9-6-3,"28,398.00",25
Super Lotto 6/49,2019-12-05,15-05-33-42-25-22,"15,840,000.00",0
Lotto 6/42,2019-12-05,30-40-35-02-01-12,"5,940,000.00",0
6D Lotto,2019-12-05,2-9-3-4-2-7,"429,087.30",0
Mega Lotto 6/45,2019-12-04,37-26-22-29-33-11,"19,451,396.40",0
Grand Lotto 6/55,2019-12-04,39-32-38-31-12-47,"40,734,237.60",0
4D Lotto,2019-12-04,7-2-8-2,"41,683.00",20
Ultra Lotto 6/58,2019-12-03,39-46-55-02-52-44,"57,051,128.80",0
Super Lotto 6/49,2019-12-03,28-10-30-07-37-44,"15,840,000.00",0
Lotto 6/42,2019-12-03,26-23-12-01-34-17,"71,768,302.00",1
6D Lotto,2019-12-03,6-8-3-3-7-2,"302,138.94",0
Mega Lotto 6/45,2019-12-02,03-38-45-10-36-29,"16,952,781.20",0
Grand Lotto 6/55,2019-12-02,14-03-06-38-42-34,"38,335,057.20",0
4D Lotto,2019-12-02,8-6-2-7,"16,335.00",26
Ultra Lotto 6/58,2019-12-01,55-44-05-16-15-54,"55,515,935.00",0
Super Lotto 6/49,2019-12-01,35-38-09-17-10-15,"50,305,924.40",1
Lotto 6/42,2019-11-30,13-40-01-11-14-37,"67,610,504.40",0
Grand Lotto 6/55,2019-11-30,03-28-14-32-20-15,"35,963,885.80",0
6D Lotto,2019-11-30,1-3-1-9-4-3,"433,816.00",1
Ultra Lotto 6/58,2019-11-29,19-36-26-21-27-08,"52,979,040.60",0
Mega Lotto 6/45,2019-11-29,45-10-43-25-14-29,"14,437,600.80",0
4D Lotto,2019-11-29,3-1-7-7,"44,318.00",16
Super Lotto 6/49,2019-11-28,36-18-38-47-21-26,"47,091,414.40",0
Lotto 6/42,2019-11-28,10-34-02-04-38-40,"62,603,204.20",0
6D Lotto,2019-11-28,8-4-7-8-5-5,"383,816.52",0
Mega Lotto 6/45,2019-11-27,34-39-29-24-04-33,"11,922,912.60",0
Grand Lotto 6/55,2019-11-27,46-14-13-40-06-27,"33,830,011.80",0
4D Lotto,2019-11-27,4-1-9-8,"57,282.00",14
Ultra Lotto 6/58,2019-11-26,58-46-45-52-25-54,"50,142,173.60",0
Super Lotto 6/49,2019-11-26,30-21-01-16-19-41,"44,596,410.80",0
Lotto 6/42,2019-11-26,38-40-06-35-07-15,"57,845,506.40",0
6D Lotto,2019-11-26,2-4-4-5-1-5,"751,686.00",1
Mega Lotto 6/45,2019-11-25,05-27-12-24-23-41,"9,592,666.20",0
Grand Lotto 6/55,2019-11-25,33-36-07-28-38-08,"31,404,495.00",0
4D Lotto,2019-11-25,7-1-1-9,"10,000.00",35
Ultra Lotto 6/58,2019-11-24,41-28-27-44-14-57,"49,500,000.00",0
Super Lotto 6/49,2019-11-24,25-27-07-48-34-22,"42,504,999.00",0
Lotto 6/42,2019-11-23,03-22-05-28-23-01,"53,126,673.40",0
Grand Lotto 6/55,2019-11-23,26-27-34-03-14-02,"29,700,000.00",0
6D Lotto,2019-11-23,9-0-4-1-6-9,"461,728.64",0
Ultra Lotto 6/58,2019-11-22,01-02-25-32-31-50,"49,500,000.00",0
Mega Lotto 6/45,2019-11-22,18-07-11-12-37-01,"8,910,000.00",0
4D Lotto,2019-11-22,2-6-9-9,"60,284.00",14
Super Lotto 6/49,2019-11-21,18-42-20-30-23-38,"39,446,877.80",0
Lotto 6/42,2019-11-21,07-22-16-19-15-21,"48,666,822.00",0
6D Lotto,2019-11-21,1-1-0-6-1-9,"6,128,802.00",2
Mega Lotto 6/45,2019-11-20,27-23-03-43-02-40,"8,910,000.00",0
Grand Lotto 6/55,2019-11-20,12-52-11-20-45-08,"29,700,000.00",0
4D Lotto,2019-11-20,4-0-4-3,"27,863.00",31
Ultra Lotto 6/58,2019-11-19,15-55-17-01-06-20,"49,500,000.00",0
Super Lotto 6/49,2019-11-19,44-41-08-06-12-18,"36,983,546.60",0
Lotto 6/42,2019-11-19,03-02-40-41-05-09,"44,451,195.00",0
6D Lotto,2019-11-19,1-3-1-3-4-2,"12,207,605.64",0
Mega Lotto 6/45,2019-11-18,31-34-27-38-33-08,"8,910,000.00",0
Grand Lotto 6/55,2019-11-18,37-52-35-31-47-51,"29,700,000.00",0
4D Lotto,2019-11-18,2-8-0-3,"25,370.00",32
Ultra Lotto 6/58,2019-11-17,15-55-02-12-35-14,"49,500,000.00",0
Super Lotto 6/49,2019-11-17,38-31-36-19-11-25,"34,994,161.60",0
Lotto 6/42,2019-11-16,08-20-34-09-26-31,"40,552,849.20",0
Grand Lotto 6/55,2019-11-16,08-11-14-50-44-51,"29,700,000.00",0
6D Lotto,2019-11-16,2-8-5-9-7-4,"12,157,605.64",0
Ultra Lotto 6/58,2019-11-15,56-21-19-32-39-41,"49,500,000.00",0
Mega Lotto 6/45,2019-11-15,19-07-09-06-22-16,"22,163,563.60",1
4D Lotto,2019-11-15,7-0-1-3,"15,131.00",27
Super Lotto 6/49,2019-11-14,36-27-16-24-38-28,"31,975,741.00",0
Lotto 6/42,2019-11-14,14-25-34-30-05-18,"36,599,717.60",0
6D Lotto,2019-11-14,2-5-3-2-9-4,"11,624,361.98",0
Mega Lotto 6/45,2019-11-13,37-02-09-19-21-34,"19,340,732.40",0
Grand Lotto 6/55,2019-11-13,43-06-05-39-24-17,"29,700,000.00",0
4D Lotto,2019-11-13,1-2-6-2,"18,320.00",43
Ultra Lotto 6/58,2019-11-12,11-43-53-28-15-49,"49,500,000.00",0
Super Lotto 6/49,2019-11-12,16-39-07-18-19-03,"29,694,286.00",0
Lotto 6/42,2019-11-12,16-24-07-10-27-17,"32,984,900.40",0
6D Lotto,2019-11-12,7-9-8-7-0-8,"11,311,927.76",0
Mega Lotto 6/45,2019-11-11,18-15-33-43-41-28,"16,690,550.20",0
Grand Lotto 6/55,2019-11-11,41-26-46-53-31-40,"29,700,000.00",0
4D Lotto,2019-11-11,2-5-3-5,"17,174.00",45
Ultra Lotto 6/58,2019-11-10,22-07-33-54-13-15,"49,500,000.00",0
Super Lotto 6/49,2019-11-10,47-10-11-29-27-16,"27,814,898.80",0
Lotto 6/42,2019-11-09,27-14-15-26-11-10,"29,718,906.80",0
Grand Lotto 6/55,2019-11-09,22-44-02-42-04-49,"29,700,000.00",0
6D Lotto,2019-11-09,6-7-0-1-6-6,"10,717,772.36",0
Ultra Lotto 6/58,2019-11-08,54-31-08-22-52-32,"49,500,000.00",0
Mega Lotto 6/45,2019-11-08,38-13-43-01-42-04,"14,016,519.00",0
4D Lotto,2019-11-08,6-6-7-6,"94,883.00",9
Super Lotto 6/49,2019-11-07,16-11-13-17-24-04,"25,024,698.00",0
Lotto 6/42,2019-11-07,05-13-24-42-33-36,"26,432,134.20",0
6D Lotto,2019-11-07,5-6-8-2-8-7,"10,230,128.54",0
Mega Lotto 6/45,2019-11-06,45-11-35-01-08-25,"11,419,916.80",0
Grand Lotto 6/55,2019-11-06,31-52-33-35-40-24,"29,700,000.00",0
4D Lotto,2019-11-06,1-7-0-1,"33,788.00",22
Ultra Lotto 6/58,2019-11-05,11-49-32-08-45-52,"49,500,000.00",0
Super Lotto 6/49,2019-11-05,33-21-35-28-38-07,"22,690,962.20",0
Lotto 6/42,2019-11-05,35-18-28-32-38-23,"23,182,929.20",0
6D Lotto,2019-11-05,7-1-1-4-2-4,"9,640,915.32",0
Mega Lotto 6/45,2019-11-04,30-04-13-17-34-39,"9,099,859.00",0
Grand Lotto 6/55,2019-11-04,11-35-44-10-20-38,"29,700,000.00",0
4D Lotto,2019-11-04,9-3-8-1,"35,627.00",24
Ultra Lotto 6/58,2019-11-03,37-13-31-22-28-16,"49,500,000.00",0
Super Lotto 6/49,2019-11-03,17-33-40-12-04-41,"20,819,289.40",0
Lotto 6/42,2019-11-02,04-36-38-08-29-34,"20,281,811.20",0
Grand Lotto 6/55,2019-11-02,35-07-23-10-48-45,"29,700,000.00",0
6D Lotto,2019-11-02,7-0-1-8-6-2,"9,590,915.32",0
Ultra Lotto 6/58,2019-11-01,10-18-14-23-03-54,"49,500,000.00",0
Mega Lotto 6/45,2019-11-01,24-42-07-32-04-44,"8,910,000.00",0
4D Lotto,2019-11-01,6-3-3-9,"60,218.00",9
Super Lotto 6/49,2019-10-31,34-21-03-17-38-44,"18,290,308.80",0
Lotto 6/42,2019-10-31,39-06-12-05-14-42,"17,776,309.60",0
6D Lotto,2019-10-31,3-6-1-4-6-0,"9,311,395.20",0
Mega Lotto 6/45,2019-10-30,05-34-03-29-18-13,"8,910,000.00",0
Grand Lotto 6/55,2019-10-30,50-27-09-01-12-05,"29,700,000.00",0
4D Lotto,2019-10-30,9-5-1-7,"27,656.00",16
Ultra Lotto 6/58,2019-10-29,02-37-50-26-22-10,"49,500,000.00",0
Super Lotto 6/49,2019-10-29,07-05-19-39-46-21,"15,968,151.20",0
Lotto 6/42,2019-10-29,38-28-42-26-05-25,"15,031,236.80",0
6D Lotto,2019-10-29,6-7-2-8-9-7,"8,803,159.72",0
Mega Lotto 6/45,2019-10-28,44-45-27-37-43-30,"8,910,000.00",0
Grand Lotto 6/55,2019-10-28,04-26-48-18-15-01,"29,700,000.00",0
4D Lotto,2019-10-28,3-4-8-9,"50,376.00",15
Ultra Lotto 6/58,2019-10-27,06-03-39-38-43-34,"49,500,000.00",0
Super Lotto 6/49,2019-10-27,09-25-37-38-10-32,"15,840,000.00",0
Lotto 6/42,2019-10-26,23-39-34-16-18-42,"12,662,905.20",0
Grand Lotto 6/55,2019-10-26,45-25-50-10-15-05,"88,941,727.40",1
6D Lotto,2019-10-26,8-5-2-5-0-6,"8,541,245.64",0
Ultra Lotto 6/58,2019-10-25,34-44-13-30-29-54,"49,500,000.00",0
Mega Lotto 6/45,2019-10-25,40-36-27-03-23-20,"96,952,481.80",1
4D Lotto,2019-10-25,7-9-3-9,"58,297.00",14
Super Lotto 6/49,2019-10-24,41-37-03-12-46-27,"15,840,000.00",0
Lotto 6/42,2019-10-24,38-14-31-15-42-11,"10,333,800.60",0
6D Lotto,2019-10-24,9-3-1-7-0-6,"8,297,952.16",0
Mega Lotto 6/45,2019-10-23,06-21-43-07-29-37,"91,525,180.00",0
Grand Lotto 6/55,2019-10-23,11-14-39-42-55-26,"85,195,184.20",0
4D Lotto,2019-10-23,5-9-7-7,"41,255.00",16
Ultra Lotto 6/58,2019-10-22,14-25-54-45-35-36,"49,500,000.00",0
Super Lotto 6/49,2019-10-22,30-29-41-08-40-38,"15,840,000.00",0
Lotto 6/42,2019-10-22,07-05-23-16-31-41,"8,178,499.00",0
6D Lotto,2019-10-22,3-8-7-4-8-2,"8,139,323.10",0
Mega Lotto 6/45,2019-10-21,13-19-37-21-17-38,"86,652,018.40",0
Grand Lotto 6/55,2019-10-21,25-54-36-43-28-44,"82,204,872.80",0
4D Lotto,2019-10-21,2-5-0-9,"42,800.00",16
Ultra Lotto 6/58,2019-10-20,45-43-02-47-13-58,"49,500,000.00",0
Super Lotto 6/49,2019-10-20,37-40-30-11-14-28,"15,840,000.00",0
Lotto 6/42,2019-10-19,25-42-26-10-03-38,"6,227,974.40",0
Grand Lotto 6/55,2019-10-19,40-35-19-06-02-28,"79,232,321.20",0
6D Lotto,2019-10-19,8-1-4-3-1-5,"7,540,296.36",0
Ultra Lotto 6/58,2019-10-18,55-37-11-21-18-45,"49,500,000.00",0
Mega Lotto 6/45,2019-10-18,03-42-30-33-22-32,"81,673,911.00",0
4D Lotto,2019-10-18,9-3-2-6,"12,704.00",40
Super Lotto 6/49,2019-10-17,09-14-46-01-36-42,"15,840,000.00",0
Lotto 6/42,2019-10-17,26-17-07-13-10-40,"5,940,000.00",0
6D Lotto,2019-10-17,3-7-3-9-1-9,"7,490,296.36",0
Mega Lotto 6/45,2019-10-16,18-36-03-39-45-30,"76,804,091.20",0
Grand Lotto 6/55,2019-10-16,48-49-50-35-39-10,"75,560,618.40",0
4D Lotto,2019-10-16,1-0-2-6,"10,000.00",251
Ultra Lotto 6/58,2019-10-15,13-23-09-58-38-14,"49,500,000.00",0
Super Lotto 6/49,2019-10-15,27-40-35-10-42-05,"15,840,000.00",0
Lotto 6/42,2019-10-15,21-27-39-23-38-10,"5,940,000.00",0
6D Lotto,2019-10-15,2-1-5-1-1-2,"7,356,890.70",0
Mega Lotto 6/45,2019-10-14,06-16-19-07-37-01,"72,384,898.40",0
Grand Lotto 6/55,2019-10-14,46-20-44-52-23-14,"72,498,702.80",0
4D Lotto,2019-10-14,7-8-3-5,"71,477.00",11
Ultra Lotto 6/58,2019-10-13,13-31-17-22-35-36,"49,500,000.00",0
Super Lotto 6/49,2019-10-13,40-19-18-28-20-01,"47,165,440.00",1
Lotto 6/42,2019-10-12,19-14-09-07-15-28,"10,602,212.20",1
Grand Lotto 6/55,2019-10-12,38-54-18-09-01-25,"69,637,186.20",0
6D Lotto,2019-10-12,9-7-5-0-2-8,"7,306,890.70",0
Ultra Lotto 6/58,2019-10-11,55-16-17-09-52-20,"244,927,422.40",1
Mega Lotto 6/45,2019-10-11,15-02-14-18-37-44,"68,200,555.20",0
4D Lotto,2019-10-11,3-2-1-6,"32,369.00",13
Super Lotto 6/49,2019-10-10,19-05-40-18-01-20,"43,796,205.00",0
Lotto 6/42,2019-10-10,09-18-13-10-27-42,"8,419,626.00",0
6D Lotto,2019-10-10,7-4-4-2-6-9,"6,870,458.06",0
Mega Lotto 6/45,2019-10-09,02-21-36-26-12-43,"64,591,814.00",0
Grand Lotto 6/55,2019-10-09,09-46-30-06-43-01,"66,508,810.80",0
4D Lotto,2019-10-09,1-3-9-0,"45,672.00",17
Ultra Lotto 6/58,2019-10-08,40-52-14-45-21-38,"237,378,901.20",0
Super Lotto 6/49,2019-10-08,29-11-35-08-33-25,"40,648,472.00",0
Lotto 6/42,2019-10-08,20-24-18-30-26-34,"6,334,826.40",0
6D Lotto,2019-10-08,8-8-5-6-4-4,"6,515,178.94",0
Mega Lotto 6/45,2019-10-07,25-12-41-26-02-23,"61,034,220.60",0
Grand Lotto 6/55,2019-10-07,36-50-51-45-43-14,"63,800,389.60",0
4D Lotto,2019-10-07,2-5-6-6,"25,323.00",31
Ultra Lotto 6/58,2019-10-06,23-11-12-42-08-45,"230,753,007.20",0
Super Lotto 6/49,2019-10-06,17-37-15-18-30-11,"38,338,502.60",0
Lotto 6/42,2019-10-05,30-17-04-37-26-32,"5,940,000.00",0
Grand Lotto 6/55,2019-10-05,14-08-48-46-01-44,"61,093,963.60",0
6D Lotto,2019-10-05,0-0-2-0-1-2,"6,061,916.62",0
Ultra Lotto 6/58,2019-10-04,22-52-08-45-02-41,"223,732,829.20",0
Mega Lotto 6/45,2019-10-04,19-43-13-20-10-35,"57,415,547.40",0
4D Lotto,2019-10-04,7-0-6-1,"31,412.00",24
Super Lotto 6/49,2019-10-03,03-11-20-37-01-25,"35,510,112.00",0
Lotto 6/42,2019-10-03,16-35-31-33-06-27,"5,940,000.00",0
6D Lotto,2019-10-03,2-7-5-8-0-3,"6,011,916.62",0
Mega Lotto 6/45,2019-10-02,43-39-10-18-16-11,"53,980,236.80",0
Grand Lotto 6/55,2019-10-02,23-54-09-22-25-38,"57,918,722.60",0
4D Lotto,2019-10-02,7-6-9-5,"114,590.00",7
Ultra Lotto 6/58,2019-10-01,09-02-35-11-52-06,"216,453,794.80",0
Super Lotto 6/49,2019-10-01,28-40-39-37-32-09,"32,600,927.20",0
Lotto 6/42,2019-10-01,22-27-11-23-21-36,"35,402,723.80",1
6D Lotto,2019-10-01,2-4-9-6-5-6,"5,633,588.34",0
Mega Lotto 6/45,2019-09-30,30-32-43-04-02-27,"50,803,653.60",0
Grand Lotto 6/55,2019-09-30,12-21-19-50-47-01,"55,423,583.60",0
4D Lotto,2019-09-30,0-8-0-0,"51,992.00",12
Ultra Lotto 6/58,2019-09-29,08-24-37-23-26-40,"210,228,705.60",0
Super Lotto 6/49,2019-09-29,02-27-31-14-41-13,"30,650,463.20",0
Lotto 6/42,2019-09-28,26-27-37-07-24-25,"32,566,319.20",0
Grand Lotto 6/55,2019-09-28,17-49-30-12-43-08,"52,827,024.40",0
6D Lotto,2019-09-28,7-9-2-7-7-0,"5,345,218.90",0
Ultra Lotto 6/58,2019-09-27,47-56-46-58-54-37,"203,684,158.80",0
Mega Lotto 6/45,2019-09-27,18-04-31-35-11-33,"47,476,449.20",0
4D Lotto,2019-09-27,5-8-2-5,"10,295.00",38
Super Lotto 6/49,2019-09-26,02-35-45-17-31-18,"28,015,714.20",0
Lotto 6/42,2019-09-26,06-19-21-17-36-04,"29,680,364.60",0
6D Lotto,2019-09-26,2-2-9-4-4-5,"5,151,376.52",0
Mega Lotto 6/45,2019-09-25,22-14-24-20-23-09,"44,373,078.80",0
Grand Lotto 6/55,2019-09-25,13-10-14-15-41-47,"50,156,674.20",0
4D Lotto,2019-09-25,9-1-6-8,"21,313.00",27
Ultra Lotto 6/58,2019-09-24,15-39-10-05-21-55,"196,855,952.80",0
Super Lotto 6/49,2019-09-24,13-48-12-29-22-02,"25,673,967.80",0
Lotto 6/42,2019-09-24,35-34-06-33-16-25,"26,640,551.60",0
6D Lotto,2019-09-24,4-1-6-9-6-4,"4,767,896.04",0
Mega Lotto 6/45,2019-09-23,23-22-35-39-28-25,"41,275,949.60",0
Grand Lotto 6/55,2019-09-23,55-07-44-18-35-28,"47,631,405.40",0
4D Lotto,2019-09-23,1-2-1-9,"10,000.00",128
Ultra Lotto 6/58,2019-09-22,10-05-02-24-49-58,"191,018,692.80",0
Super Lotto 6/49,2019-09-22,08-21-31-38-19-29,"23,821,400.40",0
Lotto 6/42,2019-09-21,26-32-42-31-06-03,"24,060,701.80",0
Grand Lotto 6/55,2019-09-21,55-23-11-33-12-26,"45,123,181.80",0
6D Lotto,2019-09-21,4-8-8-0-8-6,"4,471,349.84",0
Ultra Lotto 6/58,2019-09-20,58-05-01-14-09-36,"184,807,789.20",0
Mega Lotto 6/45,2019-09-20,22-41-43-16-26-19,"38,149,774.20",0
4D Lotto,2019-09-20,1-9-9-6,"12,823.00",69
Super Lotto 6/49,2019-09-19,37-27-38-18-31-25,"21,228,034.40",0
Lotto 6/42,2019-09-19,23-21-07-33-34-39,"21,218,389.80",0
6D Lotto,2019-09-19,7-4-8-7-2-9,"3,999,102.92",0
Mega Lotto 6/45,2019-09-18,25-33-08-31-38-02,"35,139,691.20",0
Grand Lotto 6/55,2019-09-18,36-19-08-14-10-52,"42,417,064.20",0
4D Lotto,2019-09-18,9-6-5-7,"42,509.00",17
Ultra Lotto 6/58,2019-09-17,21-26-38-10-19-36,"178,200,885.60",0
Super Lotto 6/49,2019-09-17,40-23-11-17-13-30,"18,880,063.40",0
Lotto 6/42,2019-09-17,18-42-37-03-05-04,"18,476,497.00",0
6D Lotto,2019-09-17,9-4-2-2-2-6,"3,761,274.34",0
Mega Lotto 6/45,2019-09-16,32-43-20-15-19-21,"32,191,654.80",0
Grand Lotto 6/55,2019-09-16,24-12-43-45-05-25,"39,933,839.20",0
4D Lotto,2019-09-16,6-2-1-7,"10,000.00",52
